Area Name,"Employment per 1,000 jobs",Occupation
Tennessee (47-00000),0.785,Electrical Engineer
Texas (48-00000),1.117,Electrical Engineer
Utah (49-00000),1.125,Electrical Engineer
Vermont (50-00000),2.983,Electrical Engineer
Virginia (51-00000),1.474,Electrical Engineer
Washington (53-00000),2.829,Electrical Engineer
West Virginia (54-00000),0.871,Electrical Engineer
Wisconsin (55-00000),1.358,Electrical Engineer
Wyoming (56-00000),0.944,Electrical Engineer
Alabama (01-00000),0.268,Urban and Regional Planning
Alaska (02-00000),0.840,Urban and Regional Planning
Arizona (04-00000),0.348,Urban and Regional Planning
Arkansas (05-00000),0.068,Urban and Regional Planning
California (06-00000),0.422,Urban and Regional Planning
Colorado (08-00000),0.437,Urban and Regional Planning
Connecticut (09-00000),0.228,Urban and Regional Planning
Delaware (10-00000),0.733,Urban and Regional Planning
District of Columbia (11-00000),0.197,Urban and Regional Planning
Florida (12-00000),0.269,Urban and Regional Planning
Georgia (13-00000),0.220,Urban and Regional Planning
Guam (66-00000),0.774,Urban and Regional Planning
Hawaii (15-00000),0.725,Urban and Regional Planning
Idaho (16-00000),0.456,Urban and Regional Planning
Illinois (17-00000),0.197,Urban and Regional Planning
Indiana (18-00000),0.161,Urban and Regional Planning
Iowa (19-00000),0.180,Urban and Regional Planning
Kansas (20-00000),0.242,Urban and Regional Planning
Kentucky (21-00000),0.097,Urban and Regional Planning
Louisiana (22-00000),0.131,Urban and Regional Planning
Maine (23-00000),0.341,Urban and Regional Planning
Maryland (24-00000),0.293,Urban and Regional Planning
Massachusetts (25-00000),0.430,Urban and Regional Planning
Michigan (26-00000),0.243,Urban and Regional Planning
Minnesota (27-00000),0.283,Urban and Regional Planning
Mississippi (28-00000),0.183,Urban and Regional Planning
Missouri (29-00000),0.137,Urban and Regional Planning
Montana (30-00000),0.457,Urban and Regional Planning
Nebraska (31-00000),0.333,Urban and Regional Planning
Nevada (32-00000),0.160,Urban and Regional Planning
New Hampshire (33-00000),0.306,Urban and Regional Planning
New Jersey (34-00000),0.175,Urban and Regional Planning
New Mexico (35-00000),0.477,Urban and Regional Planning
New York (36-00000),0.220,Urban and Regional Planning
North Carolina (37-00000),0.335,Urban and Regional Planning
North Dakota (38-00000),0.195,Urban and Regional Planning
Ohio (39-00000),0.120,Urban and Regional Planning
Oklahoma (40-00000),0.196,Urban and Regional Planning
Oregon (41-00000),0.561,Urban and Regional Planning
Pennsylvania (42-00000),0.182,Urban and Regional Planning
Puerto Rico (72-00000),0.098,Urban and Regional Planning
Rhode Island (44-00000),0.381,Urban and Regional Planning
South Carolina (45-00000),0.194,Urban and Regional Planning
South Dakota (46-00000),0.573,Urban and Regional Planning
Tennessee (47-00000),0.074,Urban and Regional Planning
Texas (48-00000),0.155,Urban and Regional Planning
Utah (49-00000),0.319,Urban and Regional Planning
Vermont (50-00000),0.460,Urban and Regional Planning
Virginia (51-00000),0.420,Urban and Regional Planning
Washington (53-00000),0.802,Urban and Regional Planning
West Virginia (54-00000),0.254,Urban and Regional Planning
Wisconsin (55-00000),0.283,Urban and Regional Planning
Wyoming (56-00000),0.343,Urban and Regional Planning
Alabama (01-00000),2.779,Lawyer
Alaska (02-00000),3.224,Lawyer
Arizona (04-00000),3.794,Lawyer
Arkansas (05-00000),2.718,Lawyer
California (06-00000),5.127,Lawyer
Colorado (08-00000),5.934,Lawyer
Connecticut (09-00000),4.458,Lawyer
Delaware (10-00000),6.242,Lawyer
District of Columbia (11-00000),47.167,Lawyer
Florida (12-00000),6.009,Lawyer
Georgia (13-00000),4.737,Lawyer
Guam (66-00000),2.532,Lawyer
Hawaii (15-00000),3.917,Lawyer
Idaho (16-00000),2.452,Lawyer
Illinois (17-00000),5.512,Lawyer
Indiana (18-00000),2.671,Lawyer
Iowa (19-00000),2.276,Lawyer
Kansas (20-00000),2.982,Lawyer
Kentucky (21-00000),3.202,Lawyer
Louisiana (22-00000),4.504,Lawyer
Maine (23-00000),3.273,Lawyer
Maryland (24-00000),5.978,Lawyer
Massachusetts (25-00000),6.045,Lawyer
Michigan (26-00000),3.658,Lawyer
Minnesota (27-00000),4.409,Lawyer
Mississippi (28-00000),2.761,Lawyer
Missouri (29-00000),4.096,Lawyer
Montana (30-00000),4.823,Lawyer
Nebraska (31-00000),3.417,Lawyer
Nevada (32-00000),4.006,Lawyer
New Hampshire (33-00000),(8) -,Lawyer
New Jersey (34-00000),5.495,Lawyer
New Mexico (35-00000),3.641,Lawyer
New York (36-00000),9.583,Lawyer
North Carolina (37-00000),3.548,Lawyer
North Dakota (38-00000),2.530,Lawyer
Ohio (39-00000),3.563,Lawyer
Oklahoma (40-00000),4.393,Lawyer
Oregon (41-00000),3.914,Lawyer
Pennsylvania (42-00000),4.380,Lawyer
Puerto Rico (72-00000),4.213,Lawyer
Rhode Island (44-00000),3.872,Lawyer
South Carolina (45-00000),3.200,Lawyer
South Dakota (46-00000),2.495,Lawyer
Tennessee (47-00000),2.696,Lawyer
Texas (48-00000),3.949,Lawyer
Utah (49-00000),3.420,Lawyer
Vermont (50-00000),3.780,Lawyer
Virgin Islands (78-00000),4.869,Lawyer
Virginia (51-00000),4.533,Lawyer
